Interval;Transfer;Bandwidth;Retr;Cwnd
70.00-71.00  sec;39.0 KBytes;320 Kbits/sec;20;23.7 KBytes
71.00-72.00  sec;58.6 KBytes;480 Kbits/sec;0;23.7 KBytes
72.00-73.00  sec;120 KBytes;982 Kbits/sec;0;25.1 KBytes
73.00-74.00  sec;39.0 KBytes;320 Kbits/sec;0;25.1 KBytes
74.00-75.00  sec;40.4 KBytes;331 Kbits/sec;1;23.7 KBytes
75.00-76.00  sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
76.00-77.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
77.00-78.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
78.00-79.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
79.00-80.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
80.00-81.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
81.00-82.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
82.00-83.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
83.00-84.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
84.00-85.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
85.00-86.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
86.00-87.00  sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
87.00-88.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
88.00-89.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
89.00-90.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
90.00-91.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
91.00-92.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
92.00-93.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
93.00-94.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
94.00-95.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
95.00-96.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
96.00-97.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
97.00-98.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
98.00-99.00  sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
99.00-100.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
100.00-101.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
101.00-102.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
102.00-103.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
103.00-104.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
104.00-105.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
105.00-106.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
106.00-107.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
107.00-108.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
108.00-109.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
109.00-110.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
110.00-111.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
111.00-112.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
112.00-113.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
113.00-114.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
114.00-115.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
